cca2,ccn3,cca3,cioc,independent,region,landlocked,area,population,fifa,status,unMember,subregion
IL,376,ISR,ISR,True,Asia,False,20770.0,9216900,ISR,officially-assigned,True,Western Asia
AX,248,ALA,,False,Europe,False,1580.0,29458,,officially-assigned,False,Northern Europe
MP,580,MNP,,False,Oceania,False,464.0,57557,,officially-assigned,False,Micronesia
DK,208,DNK,DEN,True,Europe,False,43094.0,5831404,DEN,officially-assigned,True,Northern Europe
BM,060,BMU,BER,False,Americas,False,54.0,63903,BER,officially-assigned,False,North America
GI,292,GIB,,False,Europe,False,6.0,33691,GIB,officially-assigned,False,Southern Europe
SY,760,SYR,SYR,True,Asia,False,185180.0,17500657,SYR,officially-assigned,True,Western Asia
TL,626,TLS,TLS,True,Asia,False,14874.0,1318442,TLS,officially-assigned,True,South-Eastern Asia
SM,674,SMR,SMR,True,Europe,True,61.0,33938,SMR,officially-assigned,True,Southern Europe
GM,270,GMB,GAM,True,Africa,False,10689.0,2416664,GAM,officially-assigned,True,Western Africa
PE,604,PER,PER,True,Americas,False,1285216.0,32971846,PER,officially-assigned,True,South America
GW,624,GNB,GBS,True,Africa,False,36125.0,1967998,GNB,officially-assigned,False,Western Africa
SL,694,SLE,SLE,True,Africa,False,71740.0,7976985,SLE,officially-assigned,True,Western Africa
TR,792,TUR,TUR,True,Asia,False,783562.0,84339067,TUR,officially-assigned,True,Western Asia
BO,068,BOL,BOL,True,Americas,True,1098581.0,11673029,BOL,officially-assigned,True,South America
NO,578,NOR,NOR,True,Europe,False,323802.0,5379475,NOR,officially-assigned,True,Northern Europe
CG,178,COG,CGO,True,Africa,False,342000.0,5657000,CGO,officially-assigned,True,Middle Africa
SZ,748,SWZ,SWZ,True,Africa,True,17364.0,1160164,SWZ,officially-assigned,True,Southern Africa
PY,600,PRY,PAR,True,Americas,True,406752.0,7132530,PAR,officially-assigned,True,South America
UA,804,UKR,UKR,True,Europe,False,603500.0,44134693,UKR,officially-assigned,True,Eastern Europe
MY,458,MYS,MAS,True,Asia,False,330803.0,32365998,MAS,officially-assigned,True,South-Eastern Asia
TO,776,TON,TGA,True,Oceania,False,747.0,105697,TGA,officially-assigned,True,Polynesia
BJ,204,BEN,BEN,True,Africa,False,112622.0,12123198,BEN,officially-assigned,True,Western Africa
SE,752,SWE,SWE,True,Europe,False,450295.0,10353442,SWE,officially-assigned,True,Northern Europe
TV,798,TUV,TUV,True,Oceania,False,26.0,11792,,officially-assigned,True,Polynesia
MN,496,MNG,MGL,True,Asia,True,1564110.0,3278292,MNG,officially-assigned,True,Eastern Asia
ZA,710,ZAF,RSA,True,Africa,False,1221037.0,59308690,RSA,officially-assigned,True,Southern Africa
CW,531,CUW,,False,Americas,False,444.0,155014,CUW,officially-assigned,False,Caribbean
