id_country,root,suffix,full_code
SVK,+4,21,+421
SVN,+3,86,+386
NIU,+6,83,+683
KIR,+6,86,+686
DEU,+4,9,+49
UNK,+3,83,+383
CIV,+2,25,+225
LKA,+9,4,+94
MAF,+5,90,+590
BEL,+3,2,+32
ISR,+9,72,+972
ALA,+3,5818,+35818
MNP,+1,670,+1670
DNK,+4,5,+45
BMU,+1,441,+1441
GIB,+3,50,+350
SYR,+9,63,+963
TLS,+6,70,+670
SMR,+3,78,+378
GMB,+2,20,+220
PER,+5,1,+51
GNB,+2,45,+245
SLE,+2,32,+232
TUR,+9,0,+90
BOL,+5,91,+591
NOR,+4,7,+47
COG,+2,42,+242
SWZ,+2,68,+268
PRY,+5,95,+595
UKR,+3,80,+380
MYS,+6,0,+60
TON,+6,76,+676
BEN,+2,29,+229
SWE,+4,6,+46
TUV,+6,88,+688
MNG,+9,76,+976
ZAF,+2,7,+27
CUW,+5,99,+599
AUS,+6,1,+61
KNA,+1,869,+1869
GHA,+2,33,+233
IRQ,+9,64,+964
VNM,+8,4,+84
GUY,+5,92,+592
AZE,+9,94,+994
CMR,+2,37,+237
EGY,+2,0,+20
ISL,+3,54,+354
VEN,+5,8,+58
BRB,+1,246,+1246
FLK,+5,00,+500
MWI,+2,65,+265
KGZ,+9,96,+996
TWN,+8,86,+886
BGR,+3,59,+359
PRK,+8,50,+850
AND,+3,76,+376
AGO,+2,44,+244
BLM,+5,90,+590
RUS,+7,3,+73
RUS,+7,4,+74
RUS,+7,5,+75
RUS,+7,8,+78
RUS,+7,9,+79
BFA,+2,26,+226
VAT,+3,906698,+3906698
VAT,+3,79,+379
IMN,+4,4,+44
AFG,+9,3,+93
HRV,+3,85,+385
BTN,+9,75,+975
BLR,+3,75,+375
CCK,+6,1,+61
NZL,+6,4,+64
MDG,+2,61,+261
THA,+6,6,+66
GEO,+9,95,+995
IND,+9,1,+91
CHN,+8,6,+86
SPM,+5,08,+508
PRI,+1,787,+1787
PRI,+1,939,+1939
DJI,+2,53,+253
SAU,+9,66,+966
IRN,+9,8,+98
ZMB,+2,60,+260
ETH,+2,51,+251
MAC,+8,53,+853
GTM,+5,02,+502
MTQ,+5,96,+596
SUR,+5,97,+597
URY,+5,98,+598
ITA,+3,9,+39
NCL,+6,87,+687
FJI,+6,79,+679
ABW,+2,97,+297
STP,+2,39,+239
CHE,+4,1,+41
COD,+2,43,+243
FIN,+3,58,+358
MLT,+3,56,+356
SLV,+5,03,+503
JOR,+9,62,+962
TKL,+6,90,+690
NRU,+6,74,+674
POL,+4,8,+48
MRT,+2,22,+222
WLF,+6,81,+681
ATA,,,
GUM,+1,671,+1671
MKD,+3,89,+389
TGO,+2,28,+228
MMR,+9,5,+95
QAT,+9,74,+974
FRA,+3,3,+33
MYT,+2,62,+262
NFK,+6,72,+672
SYC,+2,48,+248
MDA,+3,73,+373
SSD,+2,11,+211
BRN,+6,73,+673
JPN,+8,1,+81
GRD,+1,473,+1473
ESP,+3,4,+34
BES,+5,99,+599
PNG,+6,75,+675
UZB,+9,98,+998
ARG,+5,4,+54
KOR,+8,2,+82
BLZ,+5,01,+501
REU,+2,62,+262
MEX,+5,2,+52
VIR,+1,340,+1340
SRB,+3,81,+381
UMI,+2,68,+268
CPV,+2,38,+238
KHM,+8,55,+855
ROU,+4,0,+40
HUN,+3,6,+36
MHL,+6,92,+692
SOM,+2,52,+252
ALB,+3,55,+355
PYF,+6,89,+689
BDI,+2,57,+257
CAF,+2,36,+236
GUF,+5,94,+594
ASM,+1,684,+1684
LCA,+1,758,+1758
UGA,+2,56,+256
HND,+5,04,+504
KAZ,+7,6,+76
KAZ,+7,7,+77
KEN,+2,54,+254
WSM,+6,85,+685
NPL,+9,77,+977
GNQ,+2,40,+240
LBN,+9,61,+961
MUS,+2,30,+230
LIE,+4,23,+423
CYM,+1,345,+1345
AIA,+1,264,+1264
GLP,+5,90,+590
AUT,+4,3,+43
NLD,+3,1,+31
SJM,+4,779,+4779
SGP,+6,5,+65
LBR,+2,31,+231
