cca3,language,gender,demonym
TUR,eng,m,Turkish
TUR,fra,f,Turque
TUR,fra,m,Turc
BOL,eng,f,Bolivian
BOL,eng,m,Bolivian
BOL,fra,f,Bolivienne
BOL,fra,m,Bolivien
NOR,eng,f,Norwegian
NOR,eng,m,Norwegian
NOR,fra,f,Norvégienne
NOR,fra,m,Norvégien
COG,eng,f,Congolese
COG,eng,m,Congolese
COG,fra,f,Congolaise
COG,fra,m,Congolais
SWZ,eng,f,Swazi
SWZ,eng,m,Swazi
SWZ,fra,f,Swazie
SWZ,fra,m,Swazie
PRY,eng,f,Paraguayan
PRY,eng,m,Paraguayan
PRY,fra,f,Paraguayenne
PRY,fra,m,Paraguayen
UKR,eng,f,Ukrainian
UKR,eng,m,Ukrainian
UKR,fra,f,Ukrainienne
UKR,fra,m,Ukrainien
MYS,eng,f,Malaysian
MYS,eng,m,Malaysian
MYS,fra,f,Malaisienne
MYS,fra,m,Malaisien
TON,eng,f,Tongan
TON,eng,m,Tongan
TON,fra,f,Tonguienne
TON,fra,m,Tonguien
BEN,eng,f,Beninese
BEN,eng,m,Beninese
BEN,fra,f,Béninoise
BEN,fra,m,Béninois
SWE,eng,f,Swedish
SWE,eng,m,Swedish
SWE,fra,f,Suédoise
SWE,fra,m,Suédois
TUV,eng,f,Tuvaluan
TUV,eng,m,Tuvaluan
TUV,fra,f,Tuvaluane
TUV,fra,m,Tuvaluan
MNG,eng,f,Mongolian
MNG,eng,m,Mongolian
MNG,fra,f,Mongole
MNG,fra,m,Mongol
ZAF,eng,f,South African
ZAF,eng,m,South African
ZAF,fra,f,Sud-africaine
ZAF,fra,m,Sud-africain
CUW,eng,f,Curaçaoan
CUW,eng,m,Curaçaoan
CUW,fra,f,Curacienne
CUW,fra,m,Curacien
AUS,eng,f,Australian
AUS,eng,m,Australian
AUS,fra,f,Australienne
AUS,fra,m,Australien
KNA,eng,f,Kittitian or Nevisian
KNA,eng,m,Kittitian or Nevisian
KNA,fra,f,Kittitienne-et-nevicienne
KNA,fra,m,Kittitien-et-nevicien
GHA,eng,f,Ghanaian
GHA,eng,m,Ghanaian
GHA,fra,f,Ghanéenne
GHA,fra,m,Ghanéen
IRQ,eng,f,Iraqi
IRQ,eng,m,Iraqi
IRQ,fra,f,Irakienne
IRQ,fra,m,Irakien
VNM,eng,f,Vietnamese
VNM,eng,m,Vietnamese
VNM,fra,f,Vietnamienne
VNM,fra,m,Vietnamien
GUY,eng,f,Guyanese
GUY,eng,m,Guyanese
GUY,fra,f,Guyanienne
GUY,fra,m,Guyanien
AZE,eng,f,Azerbaijani
AZE,eng,m,Azerbaijani
AZE,fra,f,Azerbaïdjanaise
AZE,fra,m,Azerbaïdjanais
CMR,eng,f,Cameroonian
CMR,eng,m,Cameroonian
CMR,fra,f,Camerounaise
CMR,fra,m,Camerounais
EGY,eng,f,Egyptian
EGY,eng,m,Egyptian
EGY,fra,f,Égyptienne
EGY,fra,m,Égyptien
ISL,eng,f,Icelander
ISL,eng,m,Icelander
ISL,fra,f,Islandaise
ISL,fra,m,Islandais
VEN,eng,f,Venezuelan
VEN,eng,m,Venezuelan
VEN,fra,f,Vénézuélienne
VEN,fra,m,Vénézuélien
BRB,eng,f,Barbadian
BRB,eng,m,Barbadian
BRB,fra,f,Barbadienne
BRB,fra,m,Barbadien
FLK,eng,f,Falkland Islander
FLK,eng,m,Falkland Islander
FLK,fra,f,Malouinne
FLK,fra,m,Malouin
MWI,eng,f,Malawian
MWI,eng,m,Malawian
MWI,fra,f,Malawienne
MWI,fra,m,Malawien
KGZ,eng,f,Kirghiz
KGZ,eng,m,Kirghiz
KGZ,fra,f,Kirghize
KGZ,fra,m,Kirghize
TWN,eng,f,Taiwanese
TWN,eng,m,Taiwanese
TWN,fra,f,Taïwanaise
TWN,fra,m,Taïwanais
BGR,eng,f,Bulgarian
BGR,eng,m,Bulgarian
BGR,fra,f,Bulgare
BGR,fra,m,Bulgare
PRK,eng,f,North Korean
PRK,eng,m,North Korean
PRK,fra,f,Nord-coréenne
PRK,fra,m,Nord-coréen
AND,eng,f,Andorran
AND,eng,m,Andorran
AND,fra,f,Andorrane
AND,fra,m,Andorran
AGO,eng,f,Angolan
AGO,eng,m,Angolan
AGO,fra,f,Angolaise
AGO,fra,m,Angolais
BLM,eng,f,Saint Barthélemy Islander
BLM,eng,m,Saint Barthélemy Islander
BLM,fra,f,Barthéloméenne
BLM,fra,m,Barthéloméen
RUS,eng,f,Russian
RUS,eng,m,Russian
RUS,fra,f,Russe
RUS,fra,m,Russe
BFA,eng,f,Burkinabe
BFA,eng,m,Burkinabe
BFA,fra,f,Burkinabée
BFA,fra,m,Burkinabé
VAT,eng,f,Vatican
VAT,eng,m,Vatican
VAT,fra,f,Vaticane
VAT,fra,m,Vatican
IMN,eng,f,Manx
